,USGS Site Number:,State:,CameraName:,Camera Description:,Latitude:,Longitude:,Timelapse Length:,Collection Interval:,Collection Window:
https://apps.usgs.gov/hivis/camera/IL_Lick_Creek_near_Woodside,05576100,IL,Lick Creek near Woodside,"Lick Creek near Woodside, IL",39.71553889,-89.7024444,10 seconds (100 images),Every 60 minutes,247
https://apps.usgs.gov/hivis/camera/WI_Kinnickinnic_River_near_River_Falls_SECCHI,05342000,WI,Kinnickinnic River near River Falls SECCHI,"Kinnickinnic River near River Falls, WI - KK River Secchi Disk ",44.8308333,-92.7330556,10 seconds (100 images),Every 60 minutes,247
https://apps.usgs.gov/hivis/camera/FL_Sand_Key,888888,FL,Sand Key,"CoastCam - Sand Key, FL",27.93907,-82.83934,10 seconds (100 images),Every 60 minutes,daylight
https://apps.usgs.gov/hivis/camera/IN_Drain_Tile_East_of_Bull_Rapids_Road_near_Harlan_TILE,411229084541102,IN,Drain Tile East of Bull Rapids Road near Harlan TILE,"Drain Tile East of Bull Rapids Road near Harlan, IN - Edge of Field monitoring - IN-SW1 TILE",41.20813889,-84.9032222,10 seconds (100 images),Every 5 minutes,247
https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_McFarland_GATES,05429500,WI,Yahara River at McFarland  ,"Yahara River at McFarland GATES, WI",43.00888889,-89.305,10 seconds (100 images),Every 60 minutes,daylight
https://apps.usgs.gov/hivis/camera/MN_RUM_RIVER_NEAR_ST_FRANCIS_MN,05286000,MN,RUM RIVER NEAR ST FRANCIS MN,RUM RIVER NEAR ST. FRANCIS MN,45.32774267,-93.3724537,10 seconds (100 images),Every 60 minutes,247
https://apps.usgs.gov/hivis/camera/WI_KK11th,04087159,WI,KK11th,"Kinnickinnic River at South 11th Street in Milwaukee, WI",42.9975,-87.92638889,10 seconds (100 images),Every 15 minutes,247
https://apps.usgs.gov/hivis/camera/MN_Rice_Creek_below_Old_HWY_8_in_Mounds_View,05288580,MN,Rice Creek below Old HWY 8 in Mounds View,"Rice Creek below Old HWY 8 in Mounds View, MN",45.0933333,-93.195,10 seconds (100 images),Every 60 minutes,daylight
https://apps.usgs.gov/hivis/camera/MT_East_Poplar_River_at_International_Boundary,06178500,MT,East Poplar River at International Boundary,"East Poplar River at International Boundry,",49.0,-105.4095861,10 seconds (100 images),Every 61 minutes,247
https://apps.usgs.gov/hivis/camera/WI_Green_Bay_Oil_Depot,040851385,WI,Green Bay Oil Depot,"Oil Depot on Fox River in Green Bay, WI -  Camera points north which is perpendicular to the river. This helps document when the oil tanker is in the way of the Acoustic Velocity Meters (AVM). ",44.5286111,-88.01,10 seconds (100 images),Every 5 minutes,247
https://apps.usgs.gov/hivis/camera/WI_KD1_FIELD,442405087414401,WI,KD1 FIELD,"Discovery Farms Partner Monitoring -  Waterway  near KD1 FIELD near Kewaunee, WI",44.40127778,-87.6955556,10 seconds (100 images),Every 60 minutes,daylight
https://apps.usgs.gov/hivis/camera/WI_Manitowoc_River_at_Manitowoc,04085427,WI,Manitowoc River at Manitowoc,"Manitowoc River at Manitowoc, WI",44.10616667,-87.71602780,10 seconds (100 images),Every 60 minutes,247
https://apps.usgs.gov/hivis/camera/OH_St_Marys_River_at_Walcot_Street_at_Willshire,04181049,OH,St Marys River at Walcot Street at Willshire,"St Marys River at Walcot Street at Willshire, OH",40.74888889,-84.7891667,10 seconds (100 images),Every 60 minutes,daylight
https://apps.usgs.gov/hivis/camera/MN_High_Island_Creek_near_Henderson,05327000,MN,High Island Creek near Henderson,"High Island Creek near Henderson, MN",44.5719079,-93.9219113,10 seconds (100 images),Every 60 minutes,247
