,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,QCC,ASADABAD FOB,34.85,71.11667,844.0,"Feb 10, 2009","Oct 15, 2014",AF__ASOS,
1,QSA,BAGRAM,34.95,69.26667,1492.0,"Jul 06, 2005",,AF__ASOS,METAR_RESET_MINUTE=58
2,QQS,CAMP AIRB HLZ,34.36667,68.85,2240.0,"Apr 22, 2009","Aug 23, 2014",AF__ASOS,
3,QML,CAMP MARMAL,36.7,67.2,391.0,"Jul 09, 2010","May 20, 2016",AF__ASOS,
4,QSP,CAMP SPANN,36.65,66.96667,408.0,"Mar 30, 2011","Nov 01, 2011",AF__ASOS,
5,QLD,COP CHEROKEE,33.65,68.9,2504.0,"Jan 14, 2010","Apr 23, 2021",AF__ASOS,METAR_RESET_MINUTE=55
6,QZ4,DELARAM,32.15,63.43,762.0,"Sep 07, 2011","Jul 05, 2012",AF__ASOS,
7,QEB,Edinburg,32.4,64.7,1110.0,"Sep 07, 2011","Jul 14, 2016",AF__ASOS,METAR_RESET_MINUTE=55
8,OAFZ,Faizabad,37.11947,70.51837,1200.0,"Mar 04, 1973","Oct 13, 2012",AF__ASOS,
9,QAR,FARAH PRT,32.35,62.16667,700.0,"Feb 10, 2009","Aug 16, 2019",AF__ASOS,
10,QYL,FOB BAYLOUGH,32.65,66.8,2222.0,"Nov 19, 2009","Feb 24, 2012",AF__ASOS,
11,QCN,FOB CONNOLLY,34.25,70.16667,1215.0,"Apr 14, 2011","May 28, 2013",AF__ASOS,
12,QXT,FOB DWYER,31.1,64.06667,725.0,"Apr 16, 2008","May 11, 2016",AF__ASOS,METAR_RESET_MINUTE=55
13,QPD,FOB FRONTENAC,31.85,65.83333,1139.0,"Jan 12, 2005","Apr 09, 2021",AF__ASOS,METAR_RESET_MINUTE=55
14,QQR,FOB KALAGUSH,34.95,70.36667,1078.0,"Feb 10, 2009","Jul 08, 2022",AF__ASOS,METAR_RESET_MINUTE=55
15,QLY,FOB KUNDUZ,36.66667,68.9,405.0,"Nov 19, 2009","Sep 29, 2013",AF__ASOS,
16,QDP,FOB KUTSCHBACH,34.85,69.63333,1373.0,"Feb 10, 2009","Jun 17, 2014",AF__ASOS,
17,QWL,FOB PASAB/WILSON,31.58333,65.41667,962.0,"Sep 30, 2010","Jul 14, 2014",AF__ASOS,
18,QDX,FOB RAMROD,31.63333,64.95,916.0,"Nov 19, 2009","Feb 21, 2020",AF__ASOS,METAR_RESET_MINUTE=55
19,QA4,FOB SHINDAND,33.4,62.25,1114.0,"Nov 19, 2009","Nov 03, 2014",AF__ASOS,
20,QSB,FOB SPIN BULDAK,31.0,66.4,1228.0,"Nov 19, 2009","Jun 03, 2014",AF__ASOS,
21,QB6,FOB TELLIER/WILD,33.35,69.4,2020.0,"Apr 22, 2009","Oct 19, 2013",AF__ASOS,
22,QYK,FOB TILLMAN,32.91667,69.45,1814.0,"Nov 19, 2009","Nov 15, 2012",AF__ASOS,
23,QTD,FOB TODD,35.6,63.3,450.0,"Dec 14, 1994","Aug 14, 2012",AF__ASOS,
24,QOW,FOB TORKHAM,34.11667,71.05,680.0,"Feb 17, 1991","Aug 19, 2012",AF__ASOS,
25,QYU,FOB VICTORY,34.1,62.21667,1101.0,"Sep 29, 2004","Jul 14, 2019",AF__ASOS,
26,QC3,FOB WARRIOR,32.71667,67.63333,1993.0,"Nov 19, 2009","Jul 18, 2013",AF__ASOS,
27,QSD,FOB WOLVERINE,31.95,67.01667,1902.0,"Nov 19, 2009","Jun 16, 2019",AF__ASOS,
28,QOX,GARDEZ,33.6,69.21667,2359.0,"Apr 22, 2009","Nov 18, 2013",AF__ASOS,
29,QRY,GHAZNI,33.0,68.0,2175.0,"Feb 10, 2009","Aug 27, 2014",AF__ASOS,
30,OAHR,Herat,34.21,62.22833,964.0,"Dec 31, 1972","Aug 12, 2021",AF__ASOS,METAR_RESET_MINUTE=55
31,QBR,HERRERA HLZ,33.91667,69.7,2162.0,"Feb 10, 2009",,AF__ASOS,METAR_RESET_MINUTE=55
32,OAJL,Jalalabad,34.4333,70.4667,561.3284,"Jan 01, 1973","Aug 21, 2020",AF__ASOS,METAR_RESET_MINUTE=56
33,QL5,JALALABAD,34.4,70.05,567.0,"Feb 10, 2009","May 11, 2016",AF__ASOS,METAR_RESET_MINUTE=55
34,OAIX,Kabul,34.9463,69.265,1479.0,"Nov 22, 2017","Jun 27, 2021",AF__ASOS,METAR_RESET_MINUTE=58
35,OAKB,Kabul,34.56584,69.21242,1791.0,"Jul 01, 1957","Aug 30, 2021",AF__ASOS,METAR_RESET_MINUTE=50
36,OAKN,Kandahar,31.50576,65.84782,1010.0,"Dec 31, 1972","Nov 24, 2020",AF__ASOS,METAR_RESET_MINUTE=56
37,QKG,KHELEGAY,35.86667,68.78333,739.0,"Nov 10, 2010","Jun 21, 2018",AF__ASOS,METAR_RESET_MINUTE=55
38,OAUZ,Kunduz,36.66511,68.91083,433.0,"Jan 01, 1973","Oct 13, 2013",AF__ASOS,
39,QMH,MAIMANEH,35.91667,64.75,831.0,"Oct 06, 2004","Apr 29, 2021",AF__ASOS,METAR_RESET_MINUTE=55
40,OAMS,Mazar-i-sharif,36.70691,67.20968,378.0,"Jan 01, 1973","Jun 24, 2021",AF__ASOS,METAR_RESET_MINUTE=50
41,QM1,METHAR LAM PRT,34.65,70.2,800.0,"Feb 10, 2009","Apr 13, 2014",AF__ASOS,
42,QVE,NARAY RMWS,35.25,71.5,1092.0,"Apr 23, 1985","Sep 21, 2012",AF__ASOS,
43,QDM,ORGUN E,32.91667,69.15,2275.0,"Feb 10, 2009","Nov 09, 2018",AF__ASOS,
44,QD2,PANJSHIR,35.25,69.45,1945.0,"Feb 10, 2009","Jul 13, 2012",AF__ASOS,
45,QLT,QALAT,32.1,66.9,1621.0,"Feb 10, 2009","Jul 23, 2014",AF__ASOS,
46,QQN,QAL-E-NAW,34.96667,63.0,2930.0,"Mar 22, 2011","Sep 24, 2013",AF__ASOS,
47,QD9,SALERNO FOB,33.36667,69.96667,1153.0,"Apr 22, 2009","Oct 11, 2013",AF__ASOS,
48,QSR,SHARANA,33.11667,68.81667,2261.0,"Feb 10, 2009","Sep 12, 2013",AF__ASOS,
49,QIU,SKHIN FOB,32.51667,69.2,2212.0,"Jan 14, 2010","Jul 20, 2013",AF__ASOS,
50,QA7,TARIN KOWT,32.6,65.85,1380.0,"Apr 22, 2009","Jan 18, 2015",AF__ASOS,METAR_RESET_MINUTE=55
51,QCJ,WAZA KHWA,32.2,68.35,2296.0,"Jun 02, 2007","Jan 10, 2020",AF__ASOS,METAR_RESET_MINUTE=55
