,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,AK0026,ADAK AP,51.88334,-176.64999,5.1816,"Oct 01, 1942","Sep 30, 2023",AKCLIMATE,TRACKS_STATION=ADK|AK_COOP
1,AK0100,AKIAK,60.91667,-161.21667,-2.4384,"Oct 01, 1917","Jan 31, 1933",AKCLIMATE,
2,AK0125,AKULURAK,62.5,-164.41667,9.144,"Aug 01, 1916","Aug 28, 1944",AKCLIMATE,
3,AK0144,AKUTAN,54.13333,-165.76666,-304.4952,"Jan 01, 1986","Feb 22, 1990",AKCLIMATE,
4,AK0172,ALASKA PACIFIC UNIVERSITY,61.18889,-149.80556,67.056,"Jul 01, 1993","Oct 31, 2004",AKCLIMATE,
5,AK0201,ALEKNAGIK,59.28333,-158.56667,21.0312,"Sep 01, 1958","Feb 28, 1973",AKCLIMATE,
6,AK0230,ALLAKAKET,66.56528,-152.6425,121.92,"Jul 01, 1907","Oct 08, 2003",AKCLIMATE,
7,AK0235,ALPINE,70.3463,-150.92821,5.1816,"Jan 01, 2011",,AKCLIMATE,TRACKS_STATION=APNA2|AK_COOP
8,AK0237,ALPINE CREEK LODGE,63.0429,-147.24789,944.88,"Jun 01, 2004","May 31, 2017",AKCLIMATE,
9,AK0238,ALPINE INN,61.71667,-148.89999,139.9032,"Oct 01, 1963","Dec 31, 1971",AKCLIMATE,
10,AK0243,ALYESKA,60.9583,-149.11079,82.9056,"Nov 01, 1963","Sep 29, 2023",AKCLIMATE,TRACKS_STATION=ACRA2|AK_COOP
11,AK0247,AMBER LAKE,62.1925,-150.5033,136.8552,"Mar 01, 2001",,AKCLIMATE,TRACKS_STATION=ABRA2|AK_COOP
12,AK0249,AMBLER,67.08333,-157.85001,36.576,"Aug 01, 1994","Dec 20, 2017",AKCLIMATE,
13,AK0260,AMBLER WEST,67.08333,-157.86667,36.576,"Dec 01, 1981","Mar 31, 1992",AKCLIMATE,
14,AK0252,AMCHITKA,51.38333,179.28333,67.9704,"Feb 01, 1943","Aug 31, 1993",AKCLIMATE,
