,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,PADK,ADAK NAS/MITCHELL,51.87796,-176.64603,4.0,"Oct 30, 1942",,AK_ASOS,METAR_RESET_MINUTE=56
1,PAKH,AKHIOK,56.94,-154.18,13.0,"Jan 05, 2007",,AK_ASOS,METAR_RESET_MINUTE=56
2,PAUT,Akun,54.1446,-165.6041,20.6849,"May 15, 2014",,AK_ASOS,METAR_RESET_MINUTE=55
3,PALP,Alpine,70.3443,-150.9447,7.998743,"Jan 19, 2002",,AK_ASOS,METAR_RESET_MINUTE=45
4,PAFM,AMBLER,67.10631,-157.85747,88.0,"Jan 05, 1988",,AK_ASOS,METAR_RESET_MINUTE=56
5,PAKP,ANAKTUVUK PASS,68.1336,-151.74334,643.0,"Sep 11, 1980",,AK_ASOS,METAR_RESET_MINUTE=56
6,PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611,40.0,"Nov 01, 1953",,AK_ASOS,HASTAF=1 METAR_RESET_MINUTE=53 HAS1MIN=1
7,PAGN,ANGOON,57.5036,-134.5851,6.9889026,"Dec 31, 1972",,AK_ASOS,METAR_RESET_MINUTE=56
8,PANI,ANIAK (AWOS),61.5816,-159.54304,26.0,"Jul 01, 1948",,AK_ASOS,METAR_RESET_MINUTE=56
9,PANT,ANNETTE ISLAND (ASOS),55.04244,-131.57223,34.0,"Jul 14, 1941","Oct 01, 2019",AK_ASOS,METAR_RESET_MINUTE=53
10,PANV,ANVIK AIRPORT,62.64733,-160.19007,99.0,"Feb 10, 1995",,AK_ASOS,METAR_RESET_MINUTE=56
11,PARC,ARCTIC VILLAGE,68.11467,-145.57942,636.0,"Jul 08, 1995",,AK_ASOS,METAR_RESET_MINUTE=56
12,PAAK,ATKA AIRPORT,52.22059,-174.20618,17.0,"Jan 01, 1948",,AK_ASOS,METAR_RESET_MINUTE=56
13,PATQ,ATQASUK,70.46728,-157.43574,29.0,"Jul 11, 2005",,AK_ASOS,METAR_RESET_MINUTE=56
14,PABR,BARROW/POST-ROGERS (ASOS),71.28257,-156.79224,4.0,"Jan 01, 1945",,AK_ASOS,HASTAF=1 HAS1MIN=1 METAR_RESET_MINUTE=53
15,PABA,BARTER ISLAND(AWOS),70.13399,-143.58187,2.0,"Oct 01, 1947",,AK_ASOS,METAR_RESET_MINUTE=52
16,PABE,BETHEL AIRPORT (ASOS),60.78583,-161.82639,46.0,"Jan 01, 1945",,AK_ASOS,HAS1MIN=1 HASTAF=1 METAR_RESET_MINUTE=53
17,PABT,Bettles Field,66.9165,-151.5189,199.0,"Jan 01, 1945",,AK_ASOS,HAS1MIN=1 HASTAF=1 METAR_RESET_MINUTE=53
18,PALV,BIG RIVER LAKE,60.816,-152.302,12.0,"Aug 22, 1978","Aug 07, 2019",AK_ASOS,
19,PABV,BIRCHWOOD,61.41639,-149.50722,29.0,"Jan 02, 1994",,AK_ASOS,METAR_RESET_MINUTE=56
20,PFKT,Brevig Mission,65.33133,-166.46572,1.0,"Mar 14, 2013",,AK_ASOS,METAR_RESET_MINUTE=56
21,PABL,BUCKLAND,65.98157,-161.14907,13.125138,"Dec 01, 1998",,AK_ASOS,METAR_RESET_MINUTE=56
22,PATW,CANTWELL,63.3912,-148.95562,668.0,"Nov 03, 1983","Aug 27, 2011",AK_ASOS,
23,PALU,CAPE LISBURNE(AWOS),68.88333,-166.13333,3.0,"Aug 28, 1952",,AK_ASOS,METAR_RESET_MINUTE=55
24,PAEH,CAPE NEWENHAM(AWOS),58.64643,-162.06278,165.0,"Jul 26, 1953",,AK_ASOS,METAR_RESET_MINUTE=55
25,PACZ,CAPE ROMANZOFF AWOS,61.7803,-166.03875,146.0,"Mar 31, 1953",,AK_ASOS,METAR_RESET_MINUTE=55
26,PACE,Central,65.57394,-144.78089,286.0,"Jul 01, 1948","Feb 09, 2013",AK_ASOS,
27,PARL,CENTRAL AIRPORT,65.571,-144.7765,284.0,"Jul 01, 1948","Jan 01, 2011",AK_ASOS,
28,PALR,CHANDALAR LAKE,67.50452,-148.48322,585.0,"Jun 24, 1973",,AK_ASOS,
29,PAVA,Chevak,61.5408,-165.6009,23.0,"Feb 10, 2009",,AK_ASOS,METAR_RESET_MINUTE=56
30,PAJC,CHIGNIK,56.31146,-158.37324,20.0,"Jul 01, 1996",,AK_ASOS,METAR_RESET_MINUTE=57
31,PAEC,CHULITNA,62.88333,-149.83333,381.0,"Nov 29, 1978","Apr 30, 2022",AK_ASOS,
32,PFCL,Clarks Point,58.8337,-158.5294,14.840466,"Feb 06, 2014",,AK_ASOS,METAR_RESET_MINUTE=56
33,PACD,Cold Bay,55.22067,-162.73229,24.05756,"Mar 04, 1942",,AK_ASOS,HASTAF=1 METAR_RESET_MINUTE=53 HAS1MIN=1
34,PACX,Coldfoot,67.25217,-150.20391,310.0,"Sep 26, 2023",,AK_ASOS,
35,PACV,CORDOVA/MILE 13,60.48889,-145.45111,13.0,"Jun 11, 1942",,AK_ASOS,HASTAF=1 METAR_RESET_MINUTE=53 HAS1MIN=1
36,PASC,DEADHORSE (ASOS),70.19475,-148.46517,17.0,"Dec 31, 1972",,AK_ASOS,HASTAF=1 METAR_RESET_MINUTE=53 HAS1MIN=1
37,PADE,DEERING AIRPORT (ASOS),66.06956,-162.76637,4.0,"May 01, 1984",,AK_ASOS,METAR_RESET_MINUTE=53 HAS1MIN=1
38,PADL,DILLINGHAM (AMOS),59.04467,-158.5055,29.0,"Dec 31, 1972",,AK_ASOS,METAR_RESET_MINUTE=56 HASTAF=1
39,PADU,DUTCH HARBOR,53.90014,-166.5435,4.0,"Jan 01, 1946",,AK_ASOS,METAR_RESET_MINUTE=56 HASTAF=1
40,PAEG,EAGLE AIRPORT (ASOS),64.77808,-141.14961,77.0,"Oct 01, 1981",,AK_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=53
41,PAII,EGEGIK(AWOS),58.18528,-157.38556,119.0,"Dec 31, 1992","Aug 02, 2022",AK_ASOS,METAR_RESET_MINUTE=56
42,PAEI,EIELSON AFB,64.66567,-147.1015,167.0,"Nov 11, 1944",,AK_ASOS,METAR_RESET_MINUTE=56
43,PAEL,ELFIN COVE SEAPLANE,58.19518,-136.34739,9.02062,"Dec 18, 1974",,AK_ASOS,METAR_RESET_MINUTE=45
44,PFEL,Elim,64.61497,-162.27053,1.0,"Sep 19, 2012",,AK_ASOS,METAR_RESET_MINUTE=56
45,PAED,ELMENDORF AFB,61.25135,-149.80651,65.0,"Mar 10, 1941",,AK_ASOS,METAR_RESET_MINUTE=56
46,PAEM,EMMONAK,62.78614,-164.49075,3.0,"Apr 12, 1944",,AK_ASOS,METAR_RESET_MINUTE=56
47,PAZK,EUREKA,61.937,-147.169,1002.0,"Jul 08, 1995",,AK_ASOS,METAR_RESET_MINUTE=56
48,PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,"Jan 01, 1946",,AK_ASOS,HASTAF=1 HAS1MIN=1 METAR_RESET_MINUTE=53
49,PAKF,False Pass Airport,54.8474,-163.4103,6.0,"Dec 31, 1972",,AK_ASOS,METAR_RESET_MINUTE=56
50,PAFL,Farewell,62.5316,-153.6111,395.0,"May 20, 2007","Apr 04, 2015",AK_ASOS,METAR_RESET_MINUTE=47
51,PAFK,FAREWELL LAKE SEAPLANE,62.5425,-153.6225,321.0,"Jul 01, 1948","Apr 19, 2014",AK_ASOS,
52,PFYU,FORT YUKON (AWOS),66.56667,-145.26667,131.0,"Jul 01, 1948",,AK_ASOS,METAR_RESET_MINUTE=56
53,PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,398.0,"Oct 15, 1945",,AK_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=53
54,PAFR,Ft. Richardson,61.2664,-149.6531,121.0,"Dec 01, 1973",,AK_ASOS,METAR_RESET_MINUTE=58
