,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,LMHA2,1 N Lake Minchumina,63.8933,-152.3106,274.31607,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRV
1,PRDA2,20 NNW NWLON Station near Prudhoe Bay,70.4,-148.5267,-2.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
2,SFKA2,25 NE South Fork Koyukuk River at Dalton Hwy,67.0197,-150.2928,345.0,"Jul 23, 2014",,AK_DCP,PEDTS=HGIRZ
3,TYWA2,38 ESE Tyee Lake Outlet near Wrangell,56.2,-131.50667,501.9424,"Oct 19, 2011",,AK_DCP,PEDTS=HGIRZ
4,FMLA2,48 Mile Pond Ice,64.9966,-146.2191,274.5828,"Nov 01, 2011","Feb 28, 2017",AK_DCP,
5,WHLA2,AAMT WHITTIER STAGING AREA,60.7833,-148.7711,899.69507,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
6,ADKA2,Adak Station - NOS,51.8633,-176.6317,6.0384974,"Sep 06, 2015",,AK_DCP,PEDTS=HMIRG
7,UNK,AIRPORT,63.8886,-160.7992,2.0,"Dec 13, 2010","Jun 05, 2015",AK_DCP,
8,KNMA2,AK KENAI 29 ENE,60.7257,-150.4508,85.95602,"Dec 07, 2010",,AK_DCP,
9,PWHA2,AK PORT ALSWORTH 1 SW,60.1951,-154.3196,97.82472,"Dec 07, 2010",,AK_DCP,
10,RDMA2,AK RED DOG MINE 3 SSW,68.0276,-162.9213,284.32928,"Dec 07, 2010",,AK_DCP,
11,SNTA2,AK SAND POINT 1 ENE,55.3473,-160.466,73.74872,"Dec 07, 2010",,AK_DCP,
12,DTLA2,ALASKA HWY AT DOT LAKE,63.6503,-144.0482,449.13565,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
13,ALCA2,Alcan Border,62.6205,-141.0075,606.0,"Feb 01, 2013","Mar 19, 2014",AK_DCP,
14,ALHA2,Alcan Hwy RAWS,62.83306,-141.40917,581.81006,"Jun 06, 2012",,AK_DCP,
15,SPHA2,Alcan - Paradise Hill,62.8332,-141.4091,614.0,"Sep 30, 2021",,AK_DCP,
16,ALDA2,Alder Drive,61.2,-149.83,32.002323,"Oct 23, 2011","Apr 20, 2019",AK_DCP,
17,AKDA2,Aleknagik - Aleknagik Lake,59.2793,-158.628,3.3414745,"May 31, 2018","Sep 03, 2018",AK_DCP,
18,ALXA2,ALEXANDER LAKE SNOTEL,61.75,-150.89,48.8,"Nov 26, 2014",,AK_DCP,
19,ALIA2,Alitak - NWLON,56.898,-154.247,5.9087267,"Sep 06, 2015",,AK_DCP,PEDTS=HMIRG
20,ALNA2,ALLEN RIVER NEAR ALEKNAGIK,60.15,-158.73333,209.21577,"Sep 29, 2011","Oct 19, 2014",AK_DCP,
21,ALEA2,Alsek River At Dry Bay,59.1906,-138.3267,18.204268,"Jul 15, 2011",,AK_DCP,PEDTS=HGIRZ
22,ALKA2,ALSEK RIVER NEAR YAKUTAT,59.395,-138.0819,77.0,"Dec 07, 2010","Jun 14, 2018",AK_DCP,
23,AYBA2,ALYESKA BASE,60.9592,-149.1081,113.042496,"May 20, 2010",,AK_DCP,
24,AYTA2,ALYESKA WEATHER TOP,60.9628,-149.0689,829.8865,"Mar 08, 2010",,AK_DCP,
25,KAUA2,Ambler - Kaluich,67.5731,-158.4317,490.0,"Sep 06, 2012",,AK_DCP,
26,ABLA2,Ambler - Kobuk River,67.0869,-157.8475,23.0,"Mar 30, 2012","May 11, 2021",AK_DCP,
27,AMCA2,AMERICAN CREEK SNOTEL,64.78969,-141.23376,320.0,"Oct 24, 2011",,AK_DCP,
28,ISLA2,Anaktuvuk Pass,68.5258,-149.4783,903.0,"Apr 03, 2012","Apr 16, 2013",AK_DCP,
29,WPAA2,Anchorage 3SE - Waldron Pond,61.1781,-149.8508,45.0,"Jan 05, 2018","Dec 29, 2022",AK_DCP,
30,ARCA2,Anchorage - Artic Valley,61.2453,-149.5189,883.0,"Oct 24, 2011",,AK_DCP,
31,BAYA2,Anchorage - Bayshore,61.1294,-149.9397,10.0,"May 10, 2013","Jun 06, 2013",AK_DCP,
32,GAHA2,Anchorage - Glen Alps,61.09972,-149.69404,537.0579,"Dec 16, 2010",,AK_DCP,
33,HRHA2,Anchorage - Hillside Road,61.1089,-149.7417,331.45697,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
34,HILA2,ANCHORAGE HILLSIDE SNOTEL,61.11483,-149.66683,634.0,"May 20, 2011",,AK_DCP,
35,LHIA2,Anchorage Lake Hood Ice,61.18,-149.9719,21.000008,"Nov 18, 2011",,AK_DCP,
36,AMHA2,ANCHORAGE MIDDLE HILLSIDE,61.1043,-149.7688,252.0002,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
37,EPYA2,Anchorage - Mobile Deploy 2,61.175,-149.9933,27.263046,"Jan 23, 2012",,AK_DCP,
38,SERA2,Anchorage - Seattle Ridge,60.8332,-149.1602,617.2596,"Dec 16, 2010",,AK_DCP,
39,SVCA2,ANCHORAGE SERVICE HIGH SCHOOL,61.1385,-149.906,21.06668,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
40,SHRA2,Anchorage - Seward Hwy,61.1089,-149.8486,61.0,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
41,TSAA2,Anchorage - Test Platform A,61.1561,-149.9839,40.0,"Jun 14, 2013","Oct 10, 2022",AK_DCP,
42,UPDA2,Anchorage - Upper de Armoun,61.0995,-149.7105,365.0,"Oct 04, 2012","Oct 19, 2012",AK_DCP,
43,APBA2,ANCHOR RIVER 1 SSW Anchor River at Anchor Point,59.7722,-151.8363,9.0,"Dec 16, 2010",,AK_DCP,PEDTS=HGIRZ
44,APTA2,ANCHOR RIVER 4 SE Anchor River at New Sterling Hwy,59.7472,-151.7531,52.88355,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRZ
45,ARDA2,ANCHOR RIVER DIVIDE SNOTEL,59.85972,-151.315,503.8,"May 20, 2011","Oct 14, 2019",AK_DCP,
46,AGLA2,ANGEL CREEK RAWS,65.02,-146.2281,306.0,"Dec 07, 2010",,AK_DCP,
47,KRIA2,Aniak 2E - Kuskokwim River,61.5873,-159.4705,20.0,"Mar 02, 2021",,AK_DCP,
48,NAPA2,Aniak - Kuskokwin River,61.5333,-158.6833,54.41401,"Apr 07, 2012","Mar 25, 2018",AK_DCP,
49,KRAA2,Aniak - Kusko River,61.5872,-159.5483,20.0,"Apr 07, 2012","Mar 25, 2018",AK_DCP,
50,AMBA2,ANIAK SCAN,61.58337,-159.57708,80.0,"May 20, 2011",,AK_DCP,
51,AAKA2,ANTLER RIVER 32 NW Antler River nr Auke Bay,58.8519,-134.7086,51.0,"Mar 30, 2012",,AK_DCP,PEDTS=HGIRZ
52,ASIA2,Asiak RAWS,67.475,-162.26639,249.3865,"Sep 06, 2012",,AK_DCP,
53,ANTA2,AT Anchorage NOS,61.2341,-149.8841,15.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
54,ATKA2,AT Atka,52.232,-174.173,0.9002797,"Sep 06, 2015",,AK_DCP,PEDTS=HMIRG
55,CRVA2,AT Cordova NOS,60.5583,-145.7533,72.046326,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
56,CKDA2,AT Crooked Creek at Airport Rd Bridge,61.8717,-158.1236,49.5334,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRZ
57,ELFA2,AT Elfin Cove,58.193,-136.343,46.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
58,ATGA2,ATIGUN PASS SNOTEL,68.12983,-149.47817,1463.0,"May 20, 2011","Oct 14, 2019",AK_DCP,
59,ARGA2,Atigun River AT Atigun River below Galbraith Lake,68.4528,-149.3683,800.7926,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRZ
60,JNEA2,AT Juneau NOS,58.2983,-134.4117,7.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
61,KECA2,AT Ketchikan NOS,55.333,-131.625,7.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
62,NKTA2,AT Nikiski NOS,60.6833,-151.3856,38.12111,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
63,NMTA2,AT Nome NOS,64.5,-165.4189,-0.004896,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
64,PLXA2,AT Port Alexander,56.2467,-134.6467,13.0,"Sep 06, 2015",,AK_DCP,PEDTS=HMIRG
65,OVIA2,AT Seldovia NOS,59.44,-151.72,-0.00010943995,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
66,ITKA2,AT Sitka NOS,57.0517,-135.3417,9.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
67,SKTA2,AT Skagway NOS,59.45,-135.318,8.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
68,SUDA2,AT Susitna River at Denali Hwy.,63.1039,-147.5158,746.0,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRZ
69,UBLA2,AT Ublutuoch River near Nuiqsut,70.2431,-151.2969,15.408863,"Dec 07, 2010",,AK_DCP,PEDTS=HGIR2
70,YATA2,AT Yakutat NOS,59.548,-139.735,1.0,"Apr 16, 2014",,AK_DCP,PEDTS=HMIRG
71,HBRA2,Auke Bay 11NNW - Herbert River,58.524,-134.795,21.25313,"Feb 28, 2021",,AK_DCP,PEDTS=HGIRZ
72,DCRA2,Auke Bay 22NNW - Davies Creek Ridge,58.6935,-134.8505,541.7822,"Sep 30, 2021","Apr 19, 2022",AK_DCP,
73,DCVA2,Auke Bay 22NNW - Davies Creek Valley,58.6728,-134.8553,94.716995,"Sep 29, 2021","Apr 18, 2022",AK_DCP,
74,TSLA2,Auke Bay 4W - Ted Stevents Lena,58.3896,-134.7696,13.334002,"Oct 04, 2021",,AK_DCP,
75,ABYA2,AUKE BAY LAB DOCK,58.3817,-134.6453,14.303621,"Dec 16, 2010",,AK_DCP,
76,GOAA2,Auke Bay - Mendenhall Loop,58.3864,-134.5417,356.16937,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
77,MNBA2,Auke Bay - Mendenhall River,58.4042,-134.5844,18.0,"Oct 24, 2011","Jul 31, 2020",AK_DCP,
78,AKLA2,Auke Lake AT Auke Lake near Auke Bay,58.3861,-134.6383,21.0,"Oct 21, 2011",,AK_DCP,PEDTS=HGIRZ
79,BROA2,BARROW CRN,71.3213,-156.611,6.096074,"Dec 07, 2010",,AK_DCP,
80,PBTA2,Barrow - Point Barrow Model TIde,71.3666,-156.3666,-4.107781,"Aug 23, 2015","Oct 09, 2015",AK_DCP,
81,BCGA2,BATTLE CREEK BELOW GLACIER NEAR HOMER,59.7386,-150.8969,234.12447,"Dec 21, 2010","Oct 21, 2013",AK_DCP,
82,BATA2,BATTLE CREEK NEAR HOMER,59.7556,-150.9533,91.78848,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRZ
83,BRKA2,Bear Creek AT Bear Creek near Iliamna,59.8244,-154.8822,89.155525,"Dec 07, 2010","Aug 08, 2017",AK_DCP,
84,WBQA2,BEAVER CREEK,66.2614,-146.5308,116.02306,"Dec 07, 2010",,AK_DCP,
85,BEAA2,BEAVER CREEK ABOVE VICTORIA CREEK,65.8056,-146.6486,235.0,"Dec 07, 2010","Sep 04, 2013",AK_DCP,
86,BVMA2,BEAVER CREEK NEAR MICHEL LAKE NEAR BEAVE,66.2217,-146.7622,112.05115,"Dec 07, 2010","May 21, 2012",AK_DCP,
87,BVRA2,Beaver - Yukon River,66.3592,-147.3911,105.0,"May 07, 2012","Aug 31, 2012",AK_DCP,PEDTS=HGIRV
88,BLGA2,Beluga near Tyonek,60.1722,-151.0436,126.14552,"May 20, 2011","Oct 26, 2015",AK_DCP,
89,BENA2,BEN CREEK NR FT YUKON,65.2756,-143.0803,610.3592,"Dec 07, 2010",,AK_DCP,
90,BEFA2,Bens Farm near Palmer,61.5632,-149.1542,36.67264,"Oct 01, 2011",,AK_DCP,
91,BLSA2,BENTALIT RAWS,61.93583,-150.98583,45.7,"Dec 07, 2010",,AK_DCP,
92,BGLA2,BERING GLACIER,60.1186,-143.2833,15.0,"Dec 07, 2010","Jun 24, 2015",AK_DCP,
93,BEBA2,Berners Bay,58.775,-135.03306,57.416492,"Aug 10, 2021",,AK_DCP,
94,WBET2,Bethel 2WSW,60.7773,-161.845,30.0,"Nov 22, 2023",,AK_DCP,
95,BSDA2,Bethel 3W - IGage,60.7853,-161.834,34.0,"Sep 30, 2021","Nov 22, 2022",AK_DCP,
96,BFLA2,BETTLES FIELD SNOTEL,66.91667,-151.53333,195.1,"Oct 24, 2011","Mar 31, 2022",AK_DCP,
97,JMTA2,Bettles - Jim River,66.8234,-150.664,320.0,"Sep 22, 2015",,AK_DCP,
98,PAMA2,Bettles - Pamichtuk Lake,67.7717,-152.1947,812.0,"Sep 06, 2012",,AK_DCP,
99,HKLA2,Big Lake - Parks Highway at Hawk Lane,61.58499,-149.74521,70.0,"Dec 16, 2010","Mar 19, 2014",AK_DCP,
100,BGQA2,BIG LAKE RAWS,61.5264,-149.8798,89.17294,"Dec 07, 2010",,AK_DCP,
101,BCTA2,BIRCH CREEK ABOVE TWELVEMILE CREEK NEAR,65.3975,-145.7006,606.0,"Dec 07, 2010",,AK_DCP,PEDTS=HGIRG
102,BIRA2,BIRCH CREEK NR CIRCLE HOT SPRINGS,65.5847,-144.3636,260.4246,"Dec 07, 2010",,AK_DCP,
103,BRLA2,Birch Lake Ice,64.3153,-146.6465,244.49911,"Nov 01, 2011",,AK_DCP,
104,BLCA2,BLACK CAPE RAWS,58.4067,-152.8864,5.714947,"Dec 07, 2010","Nov 05, 2015",AK_DCP,
105,BLAA2,BLACK LAKE,57.1792,-157.2781,69.070175,"Dec 07, 2010",,AK_DCP,
106,BLOA2,BLACK LAKE OUTLET NEAR CHIGNIK LAKE,56.4181,-158.9492,9.0,"Dec 07, 2010","Aug 27, 2013",AK_DCP,
107,BKSA2,BLAIR LAKES RAWS,64.3858,-147.6953,222.99112,"Dec 07, 2010",,AK_DCP,
108,BTAA2,Bolio,63.8633,-145.8636,491.38046,"Apr 26, 2011",,AK_DCP,
109,BNZA2,BONANZA CREEK NEAR MCCARTHY,61.5006,-142.8725,950.07275,"Dec 07, 2010","Oct 05, 2011",AK_DCP,
110,BTLA2,BOOTH LAKE,57.2678,-154.565,67.22184,"Dec 07, 2010","May 28, 2017",AK_DCP,
111,BRIA2,Bradley Lake Inflow,59.76,-150.83972,560.05225,,,AK_DCP,PEDTS=QIIRZ
