,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,FAEA2,14th Avenue @ Eielson Street,64.8353,-147.71,147.1,"Mar 25, 2014",,AK_RWIS,
1,WHLA2,AAMT Whittier Staging Area MP 4.3,60.7764,-148.726,31.0,"Feb 20, 2013",,AK_RWIS,
2,AK052,AAMT Whittier Staging Area MP 4.3,60.7764,-148.726,31.0,"Jan 16, 2013","Feb 20, 2013",AK_RWIS,
3,AWCA2,Airport Way @ Cowles Street,64.8369,-147.74,156.4,"Mar 25, 2014",,AK_RWIS,
4,DTLA2,Alaska Highway @ Dot Lake MP 1360.4,63.59155,-143.94551,449.0,"Nov 03, 2011",,AK_RWIS,
5,AK905,Alaska Highway MP 1285 AK US AKDOT,63.1998,-142.18022,597.0,"May 12, 2023",,AK_RWIS,
6,ALCA2,Alaska Hwy @ Canadian Border MP 1221.8,62.62119,-141.01085,602.0,"Nov 03, 2011",,AK_RWIS,
7,BREA2,Badger Road @ Elvira Avenue,64.7711,-147.35,150.6,"Mar 25, 2014",,AK_RWIS,
8,BRHA2,Badger Road @ Old Richardson Highway,64.8105,-147.573,150.9,"Mar 25, 2014",,AK_RWIS,
9,AK073,Ballaine Road near Red Fox Drive,64.90083,-147.83018,258.0,"Nov 23, 2022",,AK_RWIS,
10,HKLA2,Big Lake - Parks Highway at Hawk Lane,61.58499,-149.74521,70.0,"Nov 03, 2011",,AK_RWIS,
11,BQPA2,Blaquiere Point,56.58383,-132.54306,20.0,"Nov 04, 2011",,AK_RWIS,
12,AK902,Chena Hot Springs @ Roberts Roos AK US AKDOT,64.8844,-147.37,177.0,"May 12, 2023",,AK_RWIS,
13,EGHA2,Edgerton Hwy @ Richardson Highway MP 83,61.7085,-145.162,447.0,"Nov 03, 2011",,AK_RWIS,
14,AK074,Eielson AFB MG @Richardson Hwy MP 341.3,64.69233,-147.13219,166.0,"Nov 23, 2022",,AK_RWIS,
15,COHA2,Glacier Highway @ Cohen Drive MP 22,58.464,-134.778,65.0,"Nov 03, 2011",,AK_RWIS,
16,EGNA2,Glacier Highway/Egan Drive @ MP 3,58.32133,-134.45583,5.0,"Nov 03, 2011",,AK_RWIS,
17,GKRA2,Glenn Highway @ 2nd Knik River Bridge,61.49377,-149.24477,23.0,"Nov 03, 2011",,AK_RWIS,
