,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,AL0008,ABBEVILLE,31.5702,-85.2482,138.9888,"Jul 01, 1948","Mar 06, 2014",ALCLIMATE,TRACKS_STATION=ABBA1|AL_COOP
1,AL0063,ADDISON,34.2553,-87.1814,249.3264,"Mar 01, 1938",,ALCLIMATE,TRACKS_STATION=ADDA1|AL_COOP
2,AL0071,ADDISON CENTRAL TOWER,34.41667,-87.31667,302.0568,"Jan 01, 1949","Mar 31, 1962",ALCLIMATE,
3,ALC002,Alabama - Appalachian Mountain Climate Division,34.20957,-86.40747,320.60712,"Jan 01, 1893",,ALCLIMATE,
4,AL0000,Alabama Average,32.79163,-86.8276,113.751884,"Jan 01, 1893",,ALCLIMATE,
5,ALC007,Alabama - Coastal Plain Climate Division,31.59014,-86.70171,77.74259,"Jan 01, 1893",,ALCLIMATE,
6,ALC004,Alabama - Eastern Valley Climate Division,33.68418,-86.1354,170.77873,"Jan 01, 1893",,ALCLIMATE,
7,ALC008,Alabama - Gulf Climate Division,30.75771,-87.93207,11.733698,"Jan 01, 1893",,ALCLIMATE,
8,ALC001,Alabama - Northern Valley Climate Division,34.66271,-87.26801,189.29515,"Jan 01, 1893",,ALCLIMATE,
9,ALC005,Alabama - Piedmont Plateau Climate Division,32.99946,-85.73937,199.49008,"Jan 01, 1893",,ALCLIMATE,
10,ALC006,Alabama - Prairie Climate Division,32.41953,-87.09684,49.65778,"Jan 01, 1893",,ALCLIMATE,
11,ALC003,Alabama - Upper Plains Climate Division,33.4514,-87.47702,140.02684,"Jan 01, 1893",,ALCLIMATE,
12,AL0116,ALABASTER SHELBY CO AP ASOS,33.17835,-86.78178,172.5168,"Apr 01, 1995",,ALCLIMATE,TRACKS_STATION=EET|AL_DCP
13,AL0125,ALAGA,31.13333,-85.06667,34.1376,"Oct 01, 1904","Dec 31, 1936",ALCLIMATE,
14,AL0140,ALBERTA,32.2322,-87.4104,53.34,"Oct 01, 1940","Jul 31, 2015",ALCLIMATE,TRACKS_STATION=ALBA1|AL_COOP
15,AL0148,ALBERTVILLE 2 SE,34.23333,-86.16667,348.0816,"Jan 01, 1908","Mar 31, 1977",ALCLIMATE,
16,AL0160,ALEXANDER CITY,32.9452,-85.948,195.072,"Oct 01, 1969",,ALCLIMATE,TRACKS_STATION=ALXA1|AL_COOP
17,AL0163,ALEXANDER CITY 6 NE,32.98333,-85.86667,200.8632,"Nov 01, 1942","Jul 31, 1969",ALCLIMATE,
18,AL0178,ALICEVILLE,33.12722,-88.155,195.0,"Feb 01, 1893",,ALCLIMATE,TRACKS_STATION=ALCA1|AL_COOP
19,AL0252,ANDALUSIA 3 W,31.30667,-86.52222,250.0,"Feb 01, 1893","Jan 31, 2018",ALCLIMATE,TRACKS_STATION=ALUA1|AL_COOP
20,AL0267,ANNISTON,33.66667,-85.83333,220.0656,"Jan 01, 1930","Mar 31, 1949",ALCLIMATE,
21,AL0272,ANNISTON METRO AP,33.58722,-85.85556,594.0,"Feb 01, 1893",,ALCLIMATE,TRACKS_STATION=ANB|AL_ASOS
22,AL0338,ARLEY 1 S,34.06667,-87.23333,227.076,"Mar 01, 1938","Oct 31, 1983",ALCLIMATE,
23,AL0369,ASHLAND 3 ENE,33.2941,-85.7788,311.5056,"Mar 01, 1940","Dec 20, 2017",ALCLIMATE,TRACKS_STATION=ALDA1|AL_COOP
24,AL0377,ASHVILLE 4 W,33.85,-86.33333,180.1368,"Apr 01, 1895","Feb 28, 1973",ALCLIMATE,
25,AL0390,ATHENS,34.7752,-86.9508,210.0072,"May 01, 1941",,ALCLIMATE,TRACKS_STATION=ATHA1|AL_COOP
26,AL0395,ATHENS 2,34.8,-86.98333,219.456,"Oct 01, 1955","Jun 16, 2006",ALCLIMATE,
27,AL0402,ATMORE,31.182,-87.439,91.44,"Mar 01, 1940",,ALCLIMATE,TRACKS_STATION=ATMA1|AL_COOP
28,AL0407,ATMORE,31.01667,-87.51667,67.056,"Feb 01, 1965","Aug 31, 1982",ALCLIMATE,
29,AL0422,AUBURN,32.6,-85.5,223.1136,"Jan 01, 1893","Dec 31, 1970",ALCLIMATE,
30,AL0430,AUBURN AGRONOMY FARM,32.6,-85.5,198.7296,"Jul 01, 1948","Apr 30, 1996",ALCLIMATE,
31,AL0425,AUBURN NO.2,32.5992,-85.4653,166.116,"Aug 01, 1996",,ALCLIMATE,TRACKS_STATION=ABNA1|AL_COOP
32,AL0440,AUTAUGAVILLE 3 N,32.47056,-86.68,60.96,"Oct 01, 1940","Sep 30, 2001",ALCLIMATE,
33,AL0505,BANKHEAD LOCK & DAM,33.4527,-87.3572,85.344,"Aug 01, 1930",,ALCLIMATE,TRACKS_STATION=BLDA1|AL_COOP
34,AL0530,BARRY STEAM PLANT,31.0,-88.01667,-0.6096,"Jan 01, 2000","Jul 15, 2004",ALCLIMATE,
35,AL0546,BARTON,34.71667,-87.86667,139.9032,"Jan 01, 1949","Apr 30, 1953",ALCLIMATE,
36,AL0583,BAY MINETTE,30.88389,-87.78528,271.0,"Feb 01, 1893",,ALCLIMATE,TRACKS_STATION=BAYA1|AL_COOP
37,AL0616,BEATRICE,31.72222,-87.21194,54.2544,"Dec 01, 1941","Sep 30, 2001",ALCLIMATE,
38,AL0631,BELGREEN,34.46667,-87.86667,246.888,"Mar 01, 1935","Mar 31, 1962",ALCLIMATE,
39,AL0655,BELLE MINA 2 N,34.6908,-86.8825,186.0,"Jan 01, 1949",,ALCLIMATE,TRACKS_STATION=BLMA1|AL_COOP
40,AL0748,BERRY 3 NW,33.69709,-87.64875,150.2664,"Feb 01, 1940","Dec 31, 2020",ALCLIMATE,TRACKS_STATION=BRYA1|AL_COOP
41,AL0762,BESSEMER 3 NE,33.43333,-86.91667,159.1056,"Jan 01, 1958","May 31, 1959",ALCLIMATE,
42,AL0757,BESSEMER 3 SSW,33.36667,-87.01667,164.8968,"Aug 01, 1951","Jan 31, 1975",ALCLIMATE,
43,AL0764,BESSEMER 3 WSW,33.3952,-87.0077,135.636,"Feb 01, 1977",,ALCLIMATE,TRACKS_STATION=BSMA1|AL_COOP
44,AL0768,BESSIE,32.94417,-86.83306,188.0616,"May 01, 2003","Dec 31, 2007",ALCLIMATE,
45,AL0776,BETHLEHEM,34.98333,-86.63333,267.9192,"Jan 01, 1958","Mar 31, 1962",ALCLIMATE,
46,AL0184,BEVILL LOCK AND DAM,33.21,-88.2878,50.292,"Jul 01, 1977","Dec 31, 2020",ALCLIMATE,TRACKS_STATION=AVLA1|AL_COOP
47,AL0790,BEXAR,34.16667,-88.11667,174.0408,"Jul 01, 1948","Sep 30, 1951",ALCLIMATE,
48,AL0823,BILLINGSLEY,32.6624,-86.7244,134.112,"Dec 01, 1938","Dec 31, 2020",ALCLIMATE,TRACKS_STATION=BLLA1|AL_COOP
49,AL0826,BINGHAM MOUNTAIN,34.76667,-86.28333,499.872,"Jul 01, 1959","Mar 31, 1962",ALCLIMATE,
50,AL0836,BIRMINGHAM,33.53333,-86.83333,213.9696,"Apr 01, 1893","Oct 31, 1953",ALCLIMATE,
51,AL0831,BIRMINGHAM AP ASOS,33.56556,-86.745,615.0,"Feb 01, 1893",,ALCLIMATE,TRACKS_STATION=BHM|AL_ASOS
52,ALTBHM,Birmingham Area,33.56546,-86.74488,203.38359,"Apr 01, 1895",,ALCLIMATE,
53,AL0829,BIRMINGHAM WSFO,33.46667,-86.83333,226.7712,"Nov 01, 1978","Dec 31, 1989",ALCLIMATE,
54,AL0854,BISHOP,34.65,-88.11667,142.9512,"Jan 01, 1937","Mar 31, 1962",ALCLIMATE,
55,AL0948,BLUE SPRINGS,31.66667,-85.51667,98.1456,"Jul 01, 1954","Jul 31, 1957",ALCLIMATE,
56,AL0952,BLUFFTON,34.0,-85.45,-304.4952,"Aug 01, 1941","Jan 31, 1946",ALCLIMATE,
57,AL0957,BOAZ,34.2008,-86.1633,326.136,"Mar 01, 1938","Dec 31, 2020",ALCLIMATE,TRACKS_STATION=BOZA1|AL_COOP
58,AL1069,BRANTLEY,31.58333,-86.26667,83.5152,"Jul 01, 1930","Jan 31, 1982",ALCLIMATE,
59,AL1080,BREWTON 3 ENE,31.1413,-87.0486,48.768,"Apr 01, 1977",,ALCLIMATE,TRACKS_STATION=BRWA1|AL_COOP
60,AL1084,BREWTON 3 SSE,31.05806,-87.05472,85.0,"Feb 01, 1893","Dec 31, 2014",ALCLIMATE,TRACKS_STATION=BWTA1|AL_COOP
61,AL1099,BRIDGEPORT 5 NW,34.97861,-85.80083,670.0,"Feb 01, 1893","Dec 31, 2022",ALCLIMATE,TRACKS_STATION=BRPA1|AL_COOP
