,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,EET,Alabaster,33.17838,-86.78178,172.0,"Jul 01, 1998",,AL_ASOS,METAR_RESET_MINUTE=53 HASTAF=1 HAS1MIN=1
1,8A0,Albertville,34.2316,-86.24813,317.0,"Mar 15, 2006",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
2,ALX,Alexander City,32.91427,-85.96126,193.0,"May 06, 2003",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
3,79J,Andalusia,31.30614,-86.39017,98.0,"Dec 31, 1972",,AL_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=56
4,ANB,Anniston,33.59044,-85.84789,182.0,"Jan 01, 1948",,AL_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=53 HASTAF=1
5,AUO,AUBURN-OPELIKA APT,32.61511,-85.434,236.0,"Dec 31, 1991",,AL_ASOS,METAR_RESET_MINUTE=56
6,AUB,AUBURN UNIV. (AM,32.6,-85.5,198.0,"Aug 21, 1991","May 28, 2011",AL_ASOS,
7,1R8,Bay Minette,30.8703,-87.8193,72.02543,"Oct 14, 2021",,AL_ASOS,METAR_RESET_MINUTE=55
8,EKY,Bessemer,33.3126,-86.9263,213.72552,"Aug 19, 2016",,AL_ASOS,METAR_RESET_MINUTE=56
9,BHM,BIRMINGHAM MUNI,33.56546,-86.74488,192.0,"Aug 01, 1942",,AL_ASOS,METAR_RESET_MINUTE=53 HASTAF=1 HAS1MIN=1
10,OZR,CAIRNS AAF/OZARK,31.27577,-85.71335,91.0,"Oct 19, 1954",,AL_ASOS,METAR_RESET_MINUTE=56
11,9A4,Courtland,34.65939,-87.34883,179.0,"Oct 18, 2010","Aug 22, 2013",AL_ASOS,
12,CMD,Cullman,34.2687,-86.858,289.02383,"Jul 08, 2013",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
13,3A1,CULLMAN/FOLSOM_FIELD_ARPT,34.27,-86.86,294.0,"Dec 31, 1972","Jul 01, 2013",AL_ASOS,
14,DCU,DECATUR/PRYOR FIELD,34.6525,-86.94528,177.0,"Nov 01, 1996",,AL_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=53
15,DYA,Demopolis,32.4638,-87.9541,32.245163,"Aug 17, 2013",,AL_ASOS,METAR_RESET_MINUTE=55 IS_AWOS=1
16,DHN,DOTHAN MUNICIPAL,31.32,-85.45,122.0,"Dec 16, 1941",,AL_ASOS,HASTAF=1 HAS1MIN=1 METAR_RESET_MINUTE=53
17,EDN,Enterprise,31.2982,-85.9048,104.84666,"Aug 20, 2014",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
18,EUF,Eufaula,31.9513,-85.1289,87.0,"Aug 26, 2008",,AL_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=58
19,GZH,EVERGREEN,31.41581,-87.04408,79.0,"Nov 15, 1993",,AL_ASOS,METAR_RESET_MINUTE=53 HAS1MIN=1
20,CQF,Fairhope,30.4605,-87.87703,27.0,"Jun 06, 2011",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
21,4R4,Fairhope,30.4605,-87.87702,27.7,"Sep 18, 2008","May 25, 2011",AL_ASOS,
22,0J4,Florala,31.04474,-86.31193,91.0,"May 11, 2006",,AL_ASOS,METAR_RESET_MINUTE=58
23,NBJ,Foley,30.3891,-87.6353,15.187012,"May 13, 2005","Aug 13, 2013",AL_ASOS,
24,4A9,FORT_PAYNE,34.47369,-85.72139,267.0,"Feb 28, 2004",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
25,HEY,Fort Rucker,31.346,-85.65433,97.0,"Feb 22, 2007",,AL_ASOS,METAR_RESET_MINUTE=58
26,GAD,GADSDEN MUNI (AWOS),33.97265,-86.08908,173.0,"Jan 01, 1973",,AL_ASOS,METAR_RESET_MINUTE=56
27,PRN,Greenville,31.84569,-86.61075,137.5,"Aug 23, 2001",,AL_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=58
28,JKA,Gulf Shores,30.29046,-87.67178,4.9,"Mar 14, 2006",,AL_ASOS,HASTAF=1 METAR_RESET_MINUTE=55
29,1M4,Haleyville,34.28035,-87.60044,284.0,"Oct 31, 2007",,AL_ASOS,METAR_RESET_MINUTE=56
30,HDL,Headland,31.36414,-85.31253,108.0,"May 12, 2022",,AL_ASOS,WAS=0J6 IS_AWOS=1 METAR_RESET_MINUTE=55
31,HSV,HUNTSVILLE/MADISON,34.64389,-86.78611,196.0,"Sep 01, 1958",,AL_ASOS,METAR_RESET_MINUTE=53 HASTAF=1 HAS1MIN=1
32,MDQ,HUNTSVILLE/MADISON COUNTY EXEC,34.86,-86.56,230.0,"Apr 22, 2002",,AL_ASOS,METAR_RESET_MINUTE=55 IS_AWOS=1
33,LOR,LOWE AHP/FT. RUCKER,31.35583,-85.75111,74.0,"Jul 14, 1989",,AL_ASOS,METAR_RESET_MINUTE=58
34,JFX,Manchester,33.902,-87.3142,147.0,"Feb 07, 2011",,AL_ASOS,IS_AWOS=1 METAR_RESET_MINUTE=55
35,A08,Marion,32.5105,-87.3848,62.9503,"Mar 23, 2015","Oct 28, 2020",AL_ASOS,METAR_RESET_MINUTE=55
36,MXF,MAXWELL AFB/MONTGOM,32.38294,-86.36578,51.0,"Oct 01, 1935",,AL_ASOS,METAR_RESET_MINUTE=56
37,MOB,MOBILE/BATES FIELD,30.68833,-88.24556,67.0,"Jan 01, 1948",,AL_ASOS,HAS1MIN=1 METAR_RESET_MINUTE=56 HASTAF=1
38,BFM,MOBILE DOWNTOWN,30.62678,-88.06808,8.0,"Jul 01, 1942",,AL_ASOS,METAR_RESET_MINUTE=53 HASTAF=1 HAS1MIN=1
39,MGM,MONTGOMERY/DANNELLY,32.30064,-86.39397,62.0,"Jan 01, 1948",,AL_ASOS,HAS1MIN=1 HASTAF=1 METAR_RESET_MINUTE=53
40,MSL,MUSCLE SHOALS RGNL,34.74385,-87.59962,168.0,"Dec 01, 1948",,AL_ASOS,METAR_RESET_MINUTE=53 HAS1MIN=1 HASTAF=1
41,PLR,Pell City,33.5588,-86.2491,144.6858,"Jul 27, 2016",,AL_ASOS,METAR_RESET_MINUTE=55 IS_AWOS=1
