,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,ABBA1,Abbeville,31.5702,-85.2483,132.81348,"Oct 20, 2011","Mar 06, 2014",AL_COOP,
1,ADDA1,ADDISON,34.2031,-87.1814,242.0,"Dec 09, 2010",,AL_COOP,
2,TUSA1,AIR CRASH FIRE DEPT,33.2222,-87.6092,50.0,"Dec 08, 2010",,AL_COOP,
3,ALBA1,ALBERTA,32.2389,-87.4267,67.0,"Dec 09, 2010","Jul 31, 2015",AL_COOP,
4,LCXA1,AL COURTLAND 2 WSW,34.6602,-87.3462,173.0,"Dec 09, 2010",,AL_COOP,
5,CUXA1,AL CULLMAN 3 ENE,34.1954,-86.7963,243.0,"Dec 09, 2010",,AL_COOP,
6,ALXA1,ALEXANDER CITY,32.9453,-85.9481,224.0,"Dec 09, 2010",,AL_COOP,
7,GUXA1,AL GUNTERSVILLE 2 SW,34.3337,-86.3156,187.0,"Dec 09, 2010","Dec 14, 2010",AL_COOP,
8,ALCA1,Aliceville,33.1394,-88.1269,54.304333,"Dec 09, 2011",,AL_COOP,
9,AVLA1,ALICEVILLE LOCK AND DAM,33.21,-88.2878,44.0,"Dec 08, 2010",,AL_COOP,
10,MSXA1,AL MUSCLE SHOALS 2 N,34.7728,-87.6399,168.0,"Dec 09, 2010",,AL_COOP,
11,RUXA1,AL RUSSELLVILLE 4 SSE,34.4535,-87.7104,218.0,"Dec 09, 2010",,AL_COOP,
12,ANDA1,ANDERSON,34.9093,-87.2746,236.0,"Dec 09, 2010",,AL_COOP,
13,ALDA1,ASHLAND,33.2836,-85.7919,303.0,"Dec 10, 2010",,AL_COOP,
14,AHDA1,Ashland 4NNW,33.3205,-85.8608,453.92273,"Dec 17, 2018","Oct 31, 2019",AL_COOP,
15,CLTA1,AT Lay Dam,32.965,-86.5175,118.941,"Jan 20, 2012","Jul 22, 2021",AL_COOP,
16,VRBA1,AT Mitchell Dam,32.8,-86.45,125.29502,"Jan 20, 2012","Jul 22, 2021",AL_COOP,
17,FHPA1,AUBURN UNIV EXP STN,30.5467,-87.8808,44.0,"Dec 09, 2010",,AL_COOP,
18,BLDA1,BANKHEAD LOCK AND DAM,33.4528,-87.3572,75.0,"Dec 08, 2010",,AL_COOP,
19,BAYA1,BAY MINETTE,30.8842,-87.7875,88.0,"Dec 08, 2010",,AL_COOP,
20,BLMA1,BELLE MINA 2 N,34.6908,-86.8825,186.0,"Dec 11, 2010",,AL_COOP,
