,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
0,AAMA1,AAMU/JTG SCAN,34.78333,-86.55,262.1,"Nov 07, 2016","Jul 31, 2018",AL_DCP,
1,MTCA1,Abel - Mt Cheaha,33.6,-85.65,301.71387,"Mar 20, 2012",,AL_DCP,
2,CLBA1,Alabama River 15 AT Claiborne Dam - Tailwater,31.615,-87.5506,11.0,"Dec 07, 2010",,AL_DCP,PEDTS=HTIRG
3,TYLA1,Alabama River 3 NE R.F. Henry Lock and Dam,32.3233,-86.7828,34.0,"Dec 01, 2010",,AL_DCP,PEDTS=HTIRG
4,ALRA1,ALABAMA RIVER 6 NW Alabama River At US 31 Near Montgomery,32.4114,-86.4083,48.0,"Dec 07, 2010",,AL_DCP,
5,MRFA1,Alabama River 9 AT Millers Ferry Dam,32.1,-87.3981,11.0,"Dec 07, 2010",,AL_DCP,PEDTS=HTIRG
6,CHBA1,ALABAMA RIVER AT CHOCTAW BLUFF,31.3636,-87.765,9.0,"Dec 07, 2010",,AL_DCP,PEDTS=HGIRG
7,MGMA1,Alabama River AT Montgomery,32.3919,-86.3178,37.0,"Dec 07, 2010",,AL_DCP,PEDTS=HGIRG
8,SELA1,Alabama River AT Selma,32.41,-87.0153,40.0,"Nov 07, 2010",,AL_DCP,PEDTS=HGIRG
9,EET,ALABASTER SHELBY CO AP ASOS,33.17835,-86.78178,172.5168,"Jan 24, 2011",,AL_DCP,
10,ABVA1,ALBERTVILLE,34.2358,-86.1856,320.0,"Dec 15, 2010",,AL_DCP,
11,LCXA1,AL COURTLAND 2 WSW,34.6602,-87.3462,173.0,"Dec 07, 2010",,AL_DCP,
12,CUXA1,AL CULLMAN 3 ENE,34.1954,-86.7963,243.0,"Dec 07, 2010",,AL_DCP,
13,FRYA1,Aldridge Creek AT Aldridge Creek / Farley,34.6239,-86.5411,180.0,"Dec 07, 2010",,AL_DCP,PEDTS=HGIRG
14,SHEA1,Aldridge Creek AT Aldridge Creek / Sherwood Dr.,34.6642,-86.5542,188.0,"Dec 07, 2010",,AL_DCP,PEDTS=HGIRG
15,TONA1,Aldridge Creek AT Aldridge Creek / Toney Dr.,34.6981,-86.5506,202.0,"Dec 07, 2010",,AL_DCP,PEDTS=HGIRG
16,EBBA1,ALERT GAGES AT PEA RVR,31.4136,-86.0625,66.0,"Dec 07, 2010","Sep 12, 2011",AL_DCP,
17,GRXA1,AL GREENSBORO 2 WNW,32.7169,-87.6226,84.0,"Dec 07, 2010",,AL_DCP,
