,0
0,https://apps.usgs.gov/hivis/camera/IL_Lick_Creek_near_Woodside
1,https://apps.usgs.gov/hivis/camera/WI_Kinnickinnic_River_near_River_Falls_SECCHI
2,https://apps.usgs.gov/hivis/camera/FL_Sand_Key
3,https://apps.usgs.gov/hivis/camera/IN_Drain_Tile_East_of_Bull_Rapids_Road_near_Harlan_TILE
4,https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_McFarland_GATES
5,https://apps.usgs.gov/hivis/camera/MN_RUM_RIVER_NEAR_ST_FRANCIS_MN
6,https://apps.usgs.gov/hivis/camera/WI_KK11th
7,https://apps.usgs.gov/hivis/camera/MN_Rice_Creek_below_Old_HWY_8_in_Mounds_View
8,https://apps.usgs.gov/hivis/camera/MT_East_Poplar_River_at_International_Boundary
9,https://apps.usgs.gov/hivis/camera/WI_Green_Bay_Oil_Depot
10,https://apps.usgs.gov/hivis/camera/WI_KD1_FIELD
11,https://apps.usgs.gov/hivis/camera/WI_Manitowoc_River_at_Manitowoc
12,https://apps.usgs.gov/hivis/camera/OH_St_Marys_River_at_Walcot_Street_at_Willshire
13,https://apps.usgs.gov/hivis/camera/MN_High_Island_Creek_near_Henderson
14,https://apps.usgs.gov/hivis/camera/WI_Silver_Creek_at_State_Highway_21_near_Angelo
15,https://apps.usgs.gov/hivis/camera/WI_North_Fork_Clam_River_near_Siren
16,https://apps.usgs.gov/hivis/camera/OR_Little_North_Santiam_River_above_Evans_Creek_at_Elkhorn
17,https://apps.usgs.gov/hivis/camera/WI_Chippewa_River_at_Bishops_Bridge_near_Winter
18,https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Grand_Island
19,https://apps.usgs.gov/hivis/camera/CA_Merced_River_at_Happy_Isles_Bridge_Yosemite
20,https://apps.usgs.gov/hivis/camera/WI_Menomonee_River_at_16th_Street_at_Milwaukee
21,https://apps.usgs.gov/hivis/camera/WI_KD2_FIELD
22,https://apps.usgs.gov/hivis/camera/WI_Swallow_Bay_Tributary_at_Lake_Redstone_near_La_Valle
23,https://apps.usgs.gov/hivis/camera/PA_Allegheny_River_at_Franklin
24,https://apps.usgs.gov/hivis/camera/OR_Klamath_River_below_John_C_Boyle_Powerplant_near_Keno
25,https://apps.usgs.gov/hivis/camera/WI_Chippewa_River_near_Bruce
26,https://apps.usgs.gov/hivis/camera/WI_Red_Cedar_River_near_Colfax
27,https://apps.usgs.gov/hivis/camera/WI_Spring_Harbor_Storm_Sewer_OVERVIEW_at_Madison
28,https://apps.usgs.gov/hivis/camera/NE_Elkhorn_River_near_Winslow
29,https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_East_of_Bull_Rapids_Road_near_Harlan_FLUME
30,https://apps.usgs.gov/hivis/camera/WI_Yellow_River_at_Necedah
31,https://apps.usgs.gov/hivis/camera/WI_Bark_River_near_Rome
32,https://apps.usgs.gov/hivis/camera/OH_Unnamed_Tributary_above_wetland_near_Winn_Road_near_Defiance_STREAM_CONTROL
33,https://apps.usgs.gov/hivis/camera/WI_GLRI_East_River_Waterway_SW3_FIELD
34,https://apps.usgs.gov/hivis/camera/AK_Bradly_River_near_Tidewater_near_Homer
35,https://apps.usgs.gov/hivis/camera/WI_MT1_STAFF
36,https://apps.usgs.gov/hivis/camera/MI_River_Rouge_at_Detroit
37,https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Schuyler
38,https://apps.usgs.gov/hivis/camera/WI_Root_River_Canal_near_Franklin
39,https://apps.usgs.gov/hivis/camera/WI_Swan_Creek_at_Lalor_Road_near_Fitchburg
40,https://apps.usgs.gov/hivis/camera/OH_Tiffin_River_near_Evansport
41,https://apps.usgs.gov/hivis/camera/MA_Head_of_the_Meadow_Beach_near_Truro_CAMERA_1
42,https://apps.usgs.gov/hivis/camera/WI_Dutchman_Creek_at_Cyrus_Street_near_Ashwaubenon
43,https://apps.usgs.gov/hivis/camera/WI_Treatment_Wetland_2_Surface_Inlet_near_Kaukauna_FIELD
44,https://apps.usgs.gov/hivis/camera/CO_Clear_Creek_at_Golden
45,https://apps.usgs.gov/hivis/camera/WI_South_Branch_Tenmile_Creek_near_Bancroft
46,https://apps.usgs.gov/hivis/camera/SC_Congaree_River_below_Cayce_DOWNSTREAM_CAMERA
47,https://apps.usgs.gov/hivis/camera/WI_Kinnickinnic_River_near_River_Falls_RIVER
48,https://apps.usgs.gov/hivis/camera/WA_Columbia_River_at_Vancouver
49,https://apps.usgs.gov/hivis/camera/WI_Milwaukee_River_near_Cedarburg_DOWNSTREAM
50,https://apps.usgs.gov/hivis/camera/WI_Fox_River_above_Little_Kaukauna_Dam
51,https://apps.usgs.gov/hivis/camera/CO_Gunnison_River_near_Grand_Junction_RISE
52,https://apps.usgs.gov/hivis/camera/WI_AO1_FIELD
53,https://apps.usgs.gov/hivis/camera/WI_RS2_STAFF
54,https://apps.usgs.gov/hivis/camera/WI_Sixmile_Creek_at_HWY_M_near_Waunakee
55,https://apps.usgs.gov/hivis/camera/CO_WILLOW_CREEK_VI
56,https://apps.usgs.gov/hivis/camera/WI_Peshtigo_River_at_Peshtigo
57,https://apps.usgs.gov/hivis/camera/TX_Blanco_River_at_Wimberley
58,https://apps.usgs.gov/hivis/camera/OR_Columbia_River_at_Port_Westward_near_Quincy
59,https://apps.usgs.gov/hivis/camera/OH_Little_Flatrock_Creek_near_Junction
60,https://apps.usgs.gov/hivis/camera/IN_St_Marys_River_near_Fort_Wayne_DOWNSTREAM
61,https://apps.usgs.gov/hivis/camera/WI_La_Crosse_River_at_Sparta
62,https://apps.usgs.gov/hivis/camera/WI_MT3_FLUME_OVERVIEW
63,https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_East_of_Bull_Rapids_Road_near_Harlan_FIELD
64,https://apps.usgs.gov/hivis/camera/WI_Root_River_near_Franklin
